usia (tahun),jenis_kelamin,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,Natrium,kalium,tembaga,seng,vit_c 
0,L,900,800000,15000,35000,105000,11000,270,275,11,370,700,0.22,3,50
0,P,900,800000,15000,35000,105000,11000,270,275,11,370,700,0.22,3,50
1,L,1150,1350000,20000,45000,215000,19000,650,460,7,800,2600,0.34,3,40
1,P,1150,1350000,20000,45000,215000,19000,650,460,7,800,2600,0.34,3,40
2,L,1150,1350000,20000,45000,215000,19000,650,460,7,800,2600,0.34,3,40
2,P,1150,1350000,20000,45000,215000,19000,650,460,7,800,2600,0.34,3,40
3,L,1150,1350000,20000,45000,215000,19000,650,460,7,800,2600,0.34,3,40
3,P,1150,1350000,20000,45000,215000,19000,650,460,7,800,2600,0.34,3,40
4,L,1450,1400000,25000,50000,220000,20000,1000,500,10,900,2700,0.44,5,45
4,P,1450,1400000,25000,50000,220000,20000,1000,500,10,900,2700,0.44,5,45
5,L,1450,1400000,25000,50000,220000,20000,1000,500,10,900,2700,0.44,5,45
5,P,1450,1400000,25000,50000,220000,20000,1000,500,10,900,2700,0.44,5,45
6,L,1450,1400000,25000,50000,220000,20000,1000,500,10,900,2700,0.44,5,45
6,P,1450,1400000,25000,50000,220000,20000,1000,500,10,900,2700,0.44,5,45
7,L,1650,1650000,40000,55000,250000,23000,1000,500,10,1000,3200,0.57,5,45
7,P,1650,1650000,40000,55000,250000,23000,1000,500,10,1000,3200,0.57,5,45
8,L,1650,1650000,40000,55000,250000,23000,1000,500,10,1000,3200,0.57,5,45
8,P,1650,1650000,40000,55000,250000,23000,1000,500,10,1000,3200,0.57,5,45
9,L,1650,1650000,40000,55000,250000,23000,1000,500,10,1000,3200,0.57,5,45
9,P,1650,1650000,40000,55000,250000,23000,1000,500,10,1000,3200,0.57,5,45
10,L,1850,2000000,50000,65000,300000,28000,1200,1250,8,1300,3900,0.7,8,50
10,P,1850,1900000,55000,65000,280000,27000,1200,1250,8,1400,4400,0.7,8,50
11,L,1850,2000000,50000,65000,300000,28000,1200,1250,8,1300,3900,0.7,8,50
11,P,1850,1900000,55000,65000,280000,27000,1200,1250,8,1400,4400,0.7,8,50
12,L,1850,2000000,50000,65000,300000,28000,1200,1250,8,1300,3900,0.7,8,50
12,P,1850,1900000,55000,65000,280000,27000,1200,1250,8,1400,4400,0.7,8,50
